CASENO,COMPANY,FUNCTIONAL_GROUP,FUNCTION,FUNCTIONAL_AREA,FUNCTIONAL_LOCATION,FUNCTIONAL_SUB_LOCATION,LOCATION_SID,LOCATION_SHORT,COUNTRY_SHORT,SL_COUNTRY,SL_LOCATION_LVL_1,SL_LOCATION_LVL_2,SL_LOCATION_LVL_3,SL_LOCATION_LVL_4,CASE_OCCURENCE_DATE,TITLE,COMPANY_INVOLVED_TYPE,CASE_TYPE,CASE_SEVERITY,CASE_DESCRIPTION,STATUS,HAZARD,IMM_ACTION_TAKEN_RECOM,FULL_INVESTIGATION_DONE,CREATED_DATE,MODIFIED_DATE,APPROVED_WITHIN_DEADLINE,CASE_CLOSED_DATE,CASES_NO_OF_REGISTRATIONS,VALID_FROM,VALID_TO,POTENTIAL_SEV_LEVEL,RISK_AREA,LEARNINGS_ACTUAL_SEVERITY,LEARNINGS_POTENTIAL_RISK,title_length,description_length,combined_text_length,title_word_count,description_word_count,combined_word_count,binary_label,text_features
57088,Uniper Group (70006651) - KAEFER C&D UK,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Grain UK (75001395),,8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,17/06/2025,Shorts and flip-flops being worn in a 'working area',Contractor,Safety,Observations,Scaffolder gone to work area storage container to collect new overalls,Processing,Slip / Trip / Fall (at the same floor level and on stairs),Return to changing area and put PPE on,Not investigated,17/06/2025,,-- Not selected --,,1.0,00/01/1900 00:05,00/01/1900 00:00,Very low,Low Risk,Not Applicable,Low,52,70,122,9,11,20,0,Shorts and flip-flops being worn in a 'working area'. Scaffolder gone to work area storage container to collect new overalls
48271,Uniper Group (70006651) - TEI,COO (70017898),Energy Assets (75000907),Flexible Energy GT (75000929),Connahs Quay UK (75001386),Production (75001609),8133,PP CON,UK,UK,Gas Turbine Fleet,Connah's Quay,,,27/08/2024,First Aid incident in workshop,Contractor,Safety,FAC,IP received a cut to inner part of thumb from a jubilee band on an air impact tool while clearing a tool chest in the mechanical workshop,Closed,Sharp edge: Hand tools,"IP received first aid treatment at the scene and was taken to hospital for further checks. IP received wound cleansing and butterfly stitches to wound before returning to work on same day.
Workshop closed for investigation, golden hour report completed. Incident fed back to CDM meeting 
immediate actions controlled clearance of workshop and establishment of safe working area and practices pending full investigation",Investigated,28/08/2024,,No,19/05/2025,,00/01/1900 00:06,00/01/1900 00:00,Very low,Low Risk,Low,Low,30,137,167,5,27,32,0,First Aid incident in workshop. IP received a cut to inner part of thumb from a jubilee band on an air impact tool while clearing a tool chest in the mechanical workshop
55603,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Energy Storage (75000932),Operations UK (75001368),SHEQ (75001675),25232,HGSL,UK,UK,Energy Storage,Holford,,,30/04/2025,Swollen eyes,Uniper employee,Safety,FAC,IP presented with what appeared to be an allergic reaction in eyes. Both were; swollen puffy and red.,Closed,"Non-ionising radiation (Inc. exposure to lasers, infrared, UV and Sun's rays)","Irrigated eyes with eye wash solution. Still irritated and swollen. IP lay down in darken room. Was taken to hospital, eyes inspected and no contaminants found. IP stated that they suffer from hay fever, believe this combined with sun cream in eyes caused the reaction.",Investigated,01/05/2025,,Yes,13/05/2025,,00/01/1900 00:06,00/01/1900 00:00,Very low,Low Risk,Low,Low,12,101,113,2,18,20,0,Swollen eyes. IP presented with what appeared to be an allergic reaction in eyes. Both were; swollen puffy and red.
23516,Uniper Group (70006651) - Uniper,COO (70017898),Engineering (70017949),Products & Solutions (70017958),Power Engineering Services (PES) (70018644),Operations & Governance Team (70018657),28091,PES,UK,UK,Office,Power Engineering Services,,,09/02/2022,Small cut to finger using hand tool,Uniper employee,Safety,FAC,"The IP was removing a machined component from the plate that it was cut out of. Whilst doing so, the tool that the IP was using slipped, causing a small cut to the IP's finger. A plaster was applied.",Closed,Sharp edge: Hand tools,A plaster was applied.,Investigated,10/02/2022,,No,21/04/2022,,00/01/1900 00:04,00/01/1900 00:00,Low,Low Risk,Low,Low,35,199,234,7,39,46,0,"Small cut to finger using hand tool. The IP was removing a machined component from the plate that it was cut out of. Whilst doing so, the tool that the IP was using slipped, causing a small cut to the IP's finger. A plaster was applied."
52753,Uniper Group (70006651) - Uniper,COO (70017898),Energy Assets (75000907),Energy Assets Services (75000935),,,8108,PP RAT,UK,UK,Steam,Ratcliffe,,,04/02/2025,IP walked into a door jamb,Uniper employee,Safety,FAC,IP walked into a door jamb and bumped forehead and nose. The IP paused in the corridor whilst looking at a Safety sign along the corridor and then continued to move toward the toilet without looking in the direction he was walking in.,Closed,Striking into an object (Non-vehicle impacts with fixed objects),"IP checked own condition, minor graze to forehead. Reflected on own behaviour. Discussed in a care moment and with peers.",Investigated,07/02/2025,,No,21/03/2025,,00/01/1900 00:04,00/01/1900 00:00,Very low,Low Risk,Low,Low,26,234,260,6,43,49,0,IP walked into a door jamb. IP walked into a door jamb and bumped forehead and nose. The IP paused in the corridor whilst looking at a Safety sign along the corridor and then continued to move toward the toilet without looking in the direction he was walking in.
31817,Uniper Group (70006651) - HARGREAVES,COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK B (Production) (70019407),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,08/02/2023,Trapped finger on 'C' Make Up Pump Suction v/v,Contractor,Safety,FAC,"The IP was opening the valve during the process of proving an isolation on 'C' make up pump. The IP and a second person were opening the valve together when the IP left his hand on the valve and it ‘slid’ between the valve and the scaffold positioned adjacent to the valve {scaffold in situ from B make up pump motor work}, causing swelling and a small laceration around the nail on middle finger and a graze to ring finger.",Closed,Unguarded moving machinery,"Swelling and small laceration around nail on middle finger and graze to ring finger. 
First aider cleaned fingers, applied bandage and sent IP home.",Investigated,08/02/2023,,No,29/08/2023,,00/01/1900 00:22,00/01/1900 00:00,Low,Low Risk,Low,Low,46,424,470,9,80,89,0,"Trapped finger on 'C' Make Up Pump Suction v/v. The IP was opening the valve during the process of proving an isolation on 'C' make up pump. The IP and a second person were opening the valve together when the IP left his hand on the valve and it ‘slid’ between the valve and the scaffold positioned adjacent to the valve {scaffold in situ from B make up pump motor work}, causing swelling and a small laceration around the nail on middle finger and a graze to ring finger."
29828,Uniper Group (70006651) - Z-Tech control systems,COO (70017898),Engineering (70017949),Asset Projects (70017964),,,8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,18/11/2022,Cable pulling incident,Contractor,Safety,FAC,Informed by Z-tech that one of their operatives hurt themselves whilst carrying out a cable pull,Closed,"Manual handling - Load (Weight, size, stability, etc.)",Operative sought first aid treatment  on site (icepack applied).  Understood operative returned to work on the Monday. Assumed no lost time. Z-tech carrying out investigation,Investigated,21/11/2022,,Yes,28/11/2022,,00/01/1900 00:22,00/01/1900 00:00,Very low,Low Risk,Low,Low,22,96,118,3,16,19,0,Cable pulling incident. Informed by Z-tech that one of their operatives hurt themselves whilst carrying out a cable pull
27336,Uniper Group (70006651) - Other @ Operational Assets UK,COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK A (Engineering & Maint) (70019376),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,04/08/2022,Minor cut on finger from contact with metal edge on cabinet casing,Contractor,Safety,FAC,Technician sustained minor cut to left hand index finger when tightening a pipe union next to a sharp metal cabinet casing edge. First aid self administered by cleaning and fitting plaster. Technician was wearing gloves.,Closed,Sharp Edge: In the work environment,Work on this specific task halted and investigation in process.,Investigated,04/08/2022,,No,14/11/2022,,00/01/1900 00:22,00/01/1900 00:00,Very low,Low Risk,Low,Low,66,220,286,12,35,47,0,Minor cut on finger from contact with metal edge on cabinet casing. Technician sustained minor cut to left hand index finger when tightening a pipe union next to a sharp metal cabinet casing edge. First aid self administered by cleaning and fitting plaster. Technician was wearing gloves.
34154,Uniper Group (70006651) - DOMINION GLOBAL INDUSTRY S.A.S,COO (70017898),Asset Management (70017908),Project Execution (75000382),,,8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,06/05/2023,Entrapment of Finger during torqueing operations using a cordless Torque Multiplier Powered wrench - resulting in broken finger.,Contractor,Safety,LTI,"6th May 2023, a SWAT Operative working for Dominion sustained an injury to his finger that resulted in a cut and a broken bone. The IP was working on the installation of U61’s TMD at the time, undertaking the final tighten of the bolts and this was the last nut to be tightened. The injury occurred when his finger got trapped between the tightening equipment and the adjacent nut/steelwork.",Closed,Unguarded moving machinery,"Work stopped 
Man-basket raised to 89m level and IP Brought back to ground level
SWAT First aider attended and advised IP needs to report to hospital A&E
IP Driven to local hospital 
Golden hour completed - relevant documents collected",Investigated,07/05/2023,,No,25/01/2024,,00/01/1900 00:22,00/01/1900 00:00,Medium,Medium Risk,Medium,Medium,128,391,519,18,69,87,0,"Entrapment of Finger during torqueing operations using a cordless Torque Multiplier Powered wrench - resulting in broken finger.. 6th May 2023, a SWAT Operative working for Dominion sustained an injury to his finger that resulted in a cut and a broken bone. The IP was working on the installation of U61’s TMD at the time, undertaking the final tighten of the bolts and this was the last nut to be tightened. The injury occurred when his finger got trapped between the tightening equipment and the adjacent nut/steelwork."
31135,Uniper Group (70006651) - Other @ Operational Assets UK,COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK C (Commercial) (70019423),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,19/01/2023,Canteen operative slipped and fell in canteen area,Contractor,Safety,FAC,Whilst walking slipped backward on recently mopped tiled floor and banged head on floor,Closed,Slip / Trip / Fall (at the same floor level and on stairs),,Investigated,20/01/2023,,Yes,22/02/2023,,00/01/1900 00:22,00/01/1900 00:00,Medium,Medium Risk,Low,Medium,50,87,137,8,14,22,0,Canteen operative slipped and fell in canteen area. Whilst walking slipped backward on recently mopped tiled floor and banged head on floor
35078,Uniper Group (70006651) - Z-Tech control systems,COO (70017898),Asset Management (70017908),Project Execution (75000382),General Project Managers (75000400),,8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,30/05/2023,Hand injury drill and 25mm Hole saw,Contractor,Safety,FAC,"When cutting a 25mm hole on a tray the drill bounced off and landed on IPs index finger resulting cutting through IPs glove and injuring IPs finger.

Timeline:

11:55 - When cutting a 25mm hole on a tray the drill bounced off and landed on IPs index finger resulting cutting through my glove and injuring my finger.

12:35 –ERSHE and CCR made aware and injury assessed and first aid have been admitted. 

15:12 - IP came into office to sigh paperwork with ERSHE, he said he felt fine and had full range of movement in finger. 

17:00 - IP released from site with no further action",Closed,Sharp edge: Hand tools,"ERSHE  and Control room notified. First aider attended to assess injury and apply dressing (1 plaster).
Golden hour completed.",Investigated,01/06/2023,,No,20/07/2023,,00/01/1900 00:22,00/01/1900 00:00,Low,Low Risk,Low,Low,35,580,615,7,106,113,0,"Hand injury drill and 25mm Hole saw. When cutting a 25mm hole on a tray the drill bounced off and landed on IPs index finger resulting cutting through IPs glove and injuring IPs finger.

Timeline:

11:55 - When cutting a 25mm hole on a tray the drill bounced off and landed on IPs index finger resulting cutting through my glove and injuring my finger.

12:35 –ERSHE and CCR made aware and injury assessed and first aid have been admitted. 

15:12 - IP came into office to sigh paperwork with ERSHE, he said he felt fine and had full range of movement in finger. 

17:00 - IP released from site with no further action"
44584,Uniper Group (70006651) - Z-Tech control systems,COO (70017898),Asset Operations (70017927),CCGT (70017930),CDCPK (70019211),Engineering (70019348),8134,PP COT,UK,UK,Gas Turbine Fleet,CDCPK,CDC,,22/04/2024,Thumb injury after cleaning hands from paper towel dispenser,Contractor,Safety,FAC,"The IP was washing his hands after assisting with the Chlorine analyser calibration routine, as he went to remove paper towel from the dispenser and cut his thumb and removed some of his nail.",Closed,Sharp edge: Hand tools,"The injury was reported and the person thumb cleaned. No further medical asisstance needed and the IP returned to work. The injured person gave a statement and the area was examined, leading to the dispenser being removed off the wall. The paper towel dispenser had some sharp plastic teeth which now on the new dispensers are not so exposed.",Investigated,22/04/2024,,Yes,13/05/2024,,00/01/1900 00:22,00/01/1900 00:00,Very low,Low Risk,Low,Low,60,192,252,9,34,43,0,"Thumb injury after cleaning hands from paper towel dispenser. The IP was washing his hands after assisting with the Chlorine analyser calibration routine, as he went to remove paper towel from the dispenser and cut his thumb and removed some of his nail."
29873,Uniper Group (70006651) - Altrad,COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK C (Commercial) (70019423),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,22/11/2022,Small cut to IP's nose from impact with projectile material.,Contractor,Safety,FAC,"Whilst lifting the manhole cover with a mechanical manhole lifter, a small piece (2inch by ½ inch 10mm square) of the left-hand lifting handle of the drain cover snapped off and impacted the bottom of IP's safety glasses, causing a small scratch/graze to either side of the bridge of nose with some very slight swelling.",Closed,Uncontrolled moving object,,Investigated,24/11/2022,,No,22/02/2023,,00/01/1900 00:22,00/01/1900 00:00,Low,Low Risk,Low,Low,60,320,380,10,55,65,0,"Small cut to IP's nose from impact with projectile material.. Whilst lifting the manhole cover with a mechanical manhole lifter, a small piece (2inch by ½ inch 10mm square) of the left-hand lifting handle of the drain cover snapped off and impacted the bottom of IP's safety glasses, causing a small scratch/graze to either side of the bridge of nose with some very slight swelling."
23063,Uniper Group (70006651) - GE,COO (70017898),Asset Operations (70017927),CCGT (70017930),Grain UK (70019210),Production Team (70019314),8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,26/01/2022,Pinched Finger,Contractor,Safety,MTC/RWC,While using a Slide Hammer the IP pinched his finger between the slide and the end stop. The injury was assessed and dressed and the IP was sent to hospital for further assessment / treatment.,Closed,Striking into an object (Non-vehicle impacts with fixed objects),"IP sent to hospital for assessment.
Area and tool inspected - OK
PPE checked as suitable - OK",Investigated,26/01/2022,,No,26/05/2022,,00/01/1900 00:22,00/01/1900 00:00,Low,Low Risk,Medium,Low,14,192,206,2,35,37,0,Pinched Finger. While using a Slide Hammer the IP pinched his finger between the slide and the end stop. The injury was assessed and dressed and the IP was sent to hospital for further assessment / treatment.
26917,Uniper Group (70006651) - KAEFER C&D UK,COO (70017898),Engineering (70017949),Asset Projects (70017964),,,8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,11/07/2022,Struck in the face by a scaffold tube resulting in a small cut under the left eye.,Contractor,Safety,FAC,"The IP was detailed to dismantle a scaffold structure. Whilst loosening the bolt on the swivel clip which holds the raker (a scaffold tube with one end on the floor and the other end fastened to the scaffold structure at 45 degree) in position, the scaffold tube slipped from the swivel clip and struck the IP on his face.",Closed,"Manual handling - Load (Weight, size, stability, etc.)",The work on dismantling the structure was stopped and the incident was immediately reported to site management. As a precaution the IP was taken to the hospital for further checks.,Investigated,12/07/2022,,Yes,22/07/2022,,00/01/1900 00:22,00/01/1900 00:00,Very low,Low Risk,Low,Low,82,322,404,17,59,76,0,"Struck in the face by a scaffold tube resulting in a small cut under the left eye.. The IP was detailed to dismantle a scaffold structure. Whilst loosening the bolt on the swivel clip which holds the raker (a scaffold tube with one end on the floor and the other end fastened to the scaffold structure at 45 degree) in position, the scaffold tube slipped from the swivel clip and struck the IP on his face."
28043,Uniper Group (70006651) - Siemens Power Generation UK,COO (70017898),Asset Operations (70017927),CCGT (70017930),CDCPK (70019211),Engineering (70019348),8134,PP COT,UK,UK,Gas Turbine Fleet,CDCPK,CDC,,02/09/2022,First aid case as a result of Welding Arc flash,Contractor,Safety,FAC,"On Friday 2/9 Siemens site management reported that a welder had been given first aid - eye irrigation by own first aiders and as a result of continued irritation a decision made to take IP to hospital for check up.  IP was diagnosed with minor burns to the cornea consistent with welding Arc-flash, the IP was released from hospital and returned to work",Closed,"Non-ionising radiation (Inc. exposure to lasers, infrared, UV and Sun's rays)",Welder given first aid and,Investigated,07/09/2022,,No,28/11/2022,,00/01/1900 00:22,00/01/1900 00:00,Low,Low Risk,Low,Low,47,354,401,10,63,73,0,"First aid case as a result of Welding Arc flash. On Friday 2/9 Siemens site management reported that a welder had been given first aid - eye irrigation by own first aiders and as a result of continued irritation a decision made to take IP to hospital for check up.  IP was diagnosed with minor burns to the cornea consistent with welding Arc-flash, the IP was released from hospital and returned to work"
17864,Uniper Group (70006651) - Doosan Babcock Energy UK,COO (70017898),Asset Operations (70017927),CCGT (70017930),CDCPK (70019211),Engineering (70019348),8134,PP COT,UK,UK,Gas Turbine Fleet,CDCPK,CDC,,11/05/2021,Trapped hand,Contractor,Safety,FAC,Trapped hand first aid treatment.,Closed,Sharp Edge: In the work environment,"Attended by site first , wound dressed and sent to hospital for further assessment.",Investigated,11/05/2021,,No,21/07/2021,,00/01/1900 00:22,00/01/1900 00:00,High,Medium Risk,Low,Medium,12,33,45,2,5,7,0,Trapped hand. Trapped hand first aid treatment.
41290,Uniper Group (70006651) - GE,COO (70017898),Asset Operations (70017927),CCGT (70017930),Enfield UK (70019209),Maintenance (70019370),8135,PP ENF,UK,UK,Gas Turbine Fleet,Enfield,Enf.,,12/01/2024,Enfield GT Exhaust Fall and Cut Hand,Contractor,Safety,FAC,"Work Activity: 
Salko grinder working in the GT Exhaust cutting the EGH splitlines.

Events leading to incident: 
When transiting back to the work area after completing grinding activity, IP has tripped over the exhaust diffuser access manway and using his hands to break his fall caught his palm on one of the GT exhaust liner plate bolts causing a cut to his left hand approx. 5mm length. Control room was immediately informed and first aid treatment carried out by the shift team leader.",Closed,Slip / Trip / Fall (at the same floor level and on stairs),"Work stopped and all parties removed from the GT Exhaust.
First Aid administered to IP.
Ensured IP was OK before asking for account of events. Individual was honest and admitted to not wearing PPE gloves during the fall.
Review of GSAF which mentions clear access. 
Safety stop brief covering importance of staying focused when transiting to and from work areas not just during works, and wearing correct PPE at all times. 
Additional lighting installed to specific area.
Work resumed.",Investigated,12/01/2024,,Yes,13/02/2024,,00/01/1900 00:22,00/01/1900 00:00,Very low,Low Risk,Low,Low,36,490,526,7,83,90,0,"Enfield GT Exhaust Fall and Cut Hand. Work Activity: 
Salko grinder working in the GT Exhaust cutting the EGH splitlines.

Events leading to incident: 
When transiting back to the work area after completing grinding activity, IP has tripped over the exhaust diffuser access manway and using his hands to break his fall caught his palm on one of the GT exhaust liner plate bolts causing a cut to his left hand approx. 5mm length. Control room was immediately informed and first aid treatment carried out by the shift team leader."
28176,Uniper Group (70006651) - Siemens Power Generation UK,COO (70017898),Asset Operations (70017927),CCGT (70017930),CDCPK (70019211),Business Support CDCPK (70019347),8134,PP COT,UK,UK,Gas Turbine Fleet,CDCPK,CDC,,14/09/2022,Scratch to left palm of hand,Contractor,Safety,FAC,"Siemens engineer whilst working on steam turbine carrying out bump check on  E turbine after leaning down to remove the old key and shim to carryout measurement for manufacture of new key, the Siemens engineer caught left palm on shim.
The Siemens engineer then reported the injury to the supervisor which was then reported to the Uniper shift team leader",Closed,Sharp Edge: In the work environment,"siemens  engineer escorted to clean cut wound and first aider checked by siemens 
uniper personnel checked area of work , photograph taken of injury and place of incident.
recommendation to ensure that correct PPE are worn at all times",Investigated,14/09/2022,,No,31/10/2022,,00/01/1900 00:22,00/01/1900 00:00,Low,Low Risk,Low,Low,28,355,383,6,60,66,0,"Scratch to left palm of hand. Siemens engineer whilst working on steam turbine carrying out bump check on  E turbine after leaning down to remove the old key and shim to carryout measurement for manufacture of new key, the Siemens engineer caught left palm on shim.
The Siemens engineer then reported the injury to the supervisor which was then reported to the Uniper shift team leader"
19778,Uniper Group (70006651) - Uniper,COO (70017898),Engineering (70017949),Products & Solutions (70017958),Power Engineering Services (PES) (70018644),Operations & Governance Team (70018657),8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,31/08/2021,Aggravated existing injury,Uniper employee,Safety,FAC,"I.P knocked previously injured ankle aggravating existing injury. I.P was operating the pull lift to tilt Air Inlet Casing for installation, during this activity I.P foot knocked the Air Inlet Casing lifting lug.",Closed,No work-related Hazard,I.P return to his accommodation to retrieve his pain killers. Work continued as planned. No other immediate action necessary.,Investigated,02/09/2021,,Yes,23/09/2021,,00/01/1900 00:22,00/01/1900 00:00,Medium,Medium Risk,Low,Medium,26,212,238,3,33,36,0,"Aggravated existing injury. I.P knocked previously injured ankle aggravating existing injury. I.P was operating the pull lift to tilt Air Inlet Casing for installation, during this activity I.P foot knocked the Air Inlet Casing lifting lug."
28974,Uniper Group (70006651) - Other @ Operational Assets UK,COO (70017898),Asset Operations (70017927),CCGT (70017930),CDCPK (70019211),Engineering (70019348),25395,UK_PIPES,UK,UK,Gas Turbine Fleet,CDCPK,Pipelines,,17/10/2022,Excavation Wall Collapse,Contractor,Safety,LTI,"During an excavation in the long field, Rayden workers had excavated the hole to 1.2m deep as per the temporary works design. On moving the first leg of the hydraulic frame into place, 1.2m x 400mm x 4m of earth gave way landing on IP's lower right leg, causing a broken ankle and requiring an operation.",Closed,Uncontrolled moving object,Job stopped and IP taken to A&E. Investigation ongoing,Investigated,17/10/2022,,No,19/08/2024,,00/01/1900 00:22,00/01/1900 00:00,High,Medium Risk,Severe,Medium,24,304,328,3,56,59,0,"Excavation Wall Collapse. During an excavation in the long field, Rayden workers had excavated the hole to 1.2m deep as per the temporary works design. On moving the first leg of the hydraulic frame into place, 1.2m x 400mm x 4m of earth gave way landing on IP's lower right leg, causing a broken ankle and requiring an operation."
24152,Uniper Group (70006651) - Other @ Operational Assets UK,COO (70017898),Asset Management (70017908),Asset Support & Outage Excellence (70017915),Team Fossil UK (70017919),Asset Services UK South (70018513),4083,CDCPK,UK,UK,Gas Turbine Fleet,CDCPK,,,09/03/2022,Injured Thumb from Trapping Under Switch Gear Cabinet,Contractor,Safety,MTC/RWC,"A new electrical switch gear cabinet was being lifted from its stored position using two cabinet lifting trollies. As the IP tried to remove a piece of unistrut from under the cabinet, one of the trollies moved dropping the cabinet on tho the end if the IP's thumb.",Closed,"Manual handling - Load (Weight, size, stability, etc.)",First aid given to the IP and advice to have the injury checked at hospital.,Investigated,10/03/2022,,Yes,19/04/2022,,00/01/1900 00:22,00/01/1900 00:00,High,Medium Risk,Medium,Medium,53,265,318,8,48,56,0,"Injured Thumb from Trapping Under Switch Gear Cabinet. A new electrical switch gear cabinet was being lifted from its stored position using two cabinet lifting trollies. As the IP tried to remove a piece of unistrut from under the cabinet, one of the trollies moved dropping the cabinet on tho the end if the IP's thumb."
26522,Uniper Group (70006651) - Siemens Power Generation UK,COO (70017898),Asset Operations (70017927),CCGT (70017930),CDCPK (70019211),Engineering (70019348),8134,PP COT,UK,UK,Gas Turbine Fleet,CDCPK,CDC,,01/07/2022,laceration to right forearm whilst taking GT open gap measurements,Contractor,Safety,MTC/RWC,"whilst carrying out open gap measurements on the gas turbine rotor compressor a siemens engineer was turning the rotor by hand  his right hand sleeve caught the rotor blading causing the sleeve to snag on the blade and pull his arm towards the blade tip . The compressor rotor blade cut the underside of the right forearm of the siemens engineer , first aid was carried out and the injured person was sent to local hospital",Closed,Unguarded moving machinery,"work stopped , siemens first aider  assessed injury and IP gave account of incident to siemens supervisor and uniper shift team leader  before be taken to hospital . Statements from other personnel taken and photos taken of work area and injury",Investigated,01/07/2022,,No,13/12/2022,,00/01/1900 00:22,00/01/1900 00:00,Medium,Medium Risk,Medium,Medium,66,423,489,10,76,86,0,"laceration to right forearm whilst taking GT open gap measurements. whilst carrying out open gap measurements on the gas turbine rotor compressor a siemens engineer was turning the rotor by hand  his right hand sleeve caught the rotor blading causing the sleeve to snag on the blade and pull his arm towards the blade tip . The compressor rotor blade cut the underside of the right forearm of the siemens engineer , first aid was carried out and the injured person was sent to local hospital"
31363,Uniper Group (70006651) - Uniper,COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK B (Production) (70019407),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,25/01/2023,2B SSFP discharge v/v headgear failure,Uniper employee,Safety,FAC,"Whilst attempting to close the B SSFP discharge bypass valve, the headgear fell striking the IP on the hand.",Closed,Uncontrolled moving object,"Area quarantined, first aid administered and investigation underway.",Investigated,25/01/2023,,No,17/07/2023,,00/01/1900 00:22,00/01/1900 00:00,Medium,Medium Risk,Low,Medium,38,108,146,6,19,25,0,"2B SSFP discharge v/v headgear failure. Whilst attempting to close the B SSFP discharge bypass valve, the headgear fell striking the IP on the hand."
33294,Uniper Group (70006651) - Other @ Operational Assets UK,COO (70017898),Asset Management (70017908),Project Execution (75000382),,,8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,03/04/2023,Operative received small abrasion to his eyebrow whilst attempting to thread  a wire rope around a crane fly jib pulley.,Contractor,Safety,FAC,Whilst rigging the crane fly jib the wire rope deflected off a fly jib cleat and struck the IP above his left eye. This knocked off his safety glasses causing an abrasion and slight swelling to his left eye brow.,Closed,"Manual handling - Load (Weight, size, stability, etc.)",Work stopped and a golden hour report undertaken. First aider attended but not treatment needed.,Investigated,04/04/2023,,No,19/06/2023,,00/01/1900 00:22,00/01/1900 00:00,Low,Low Risk,Low,Low,120,212,332,20,40,60,0,Operative received small abrasion to his eyebrow whilst attempting to thread  a wire rope around a crane fly jib pulley.. Whilst rigging the crane fly jib the wire rope deflected off a fly jib cleat and struck the IP above his left eye. This knocked off his safety glasses causing an abrasion and slight swelling to his left eye brow.
17925,Uniper Group (70006651) - Other @ Operational Assets UK,COO (70017898),Asset Operations (70017927),Steam and Biomass (70017928),Ratcliffe UK (70019375),Ratcliffe UK C (Commercial) (70019423),8108,PP RAT,UK,UK,Steam,Ratcliffe,,,13/05/2021,Moving push along MEWP back to storage area.,Contractor,Safety,FAC,"Whilst moving a push along MEWP back to its storage area , one person at the front steering/ pulling  and one at the rear pushing , a vehicle needed to pass by which meant the MEWP would need to stop, the momentum of MEWP caused it to carry on moving coming into contact with the IP’s left ankle/ achilles area.",Closed,Moving vehicle,First aid (cold compress) was applied at the scene .,Investigated,14/05/2021,,No,15/09/2021,,00/01/1900 00:22,00/01/1900 00:00,Low,Low Risk,Low,Low,44,311,355,8,60,68,0,"Moving push along MEWP back to storage area.. Whilst moving a push along MEWP back to its storage area , one person at the front steering/ pulling  and one at the rear pushing , a vehicle needed to pass by which meant the MEWP would need to stop, the momentum of MEWP caused it to carry on moving coming into contact with the IP’s left ankle/ achilles area."
19864,Uniper Group (70006651) - Uniper,COO (70017898),Engineering (70017949),Products & Solutions (70017958),Power Engineering Services (PES) (70018644),Operations & Governance Team (70018657),8138,PP GRA,UK,UK,Gas Turbine Fleet,Grain,,,07/09/2021,Cut finger avoiding residual oil discharge,Uniper employee,Safety,MTC/RWC,IP was removing a blank from No.1 Bearing Oil line. On breaking the flange there was a discharge of residual oil. In trying to avoid the oil the IP cut his finger.,Closed,Sharp Edge: In the work environment,"First Aid was administered and the IP was taken to hospital for further examination.
Golden Hour form completed by the Supervisor. The oil was cleaned up and the work completed.
Anecdotal evidence has the IP working under the flange, from a ladder. It is uncertain if gloves were worn.
At the time of writing, the IP had not returned from hospital.",Investigated,08/09/2021,,No,24/12/2021,,00/01/1900 00:22,00/01/1900 00:00,Medium,Medium Risk,Medium,Medium,42,163,205,6,32,38,0,Cut finger avoiding residual oil discharge. IP was removing a blank from No.1 Bearing Oil line. On breaking the flange there was a discharge of residual oil. In trying to avoid the oil the IP cut his finger.
