CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
WP3 Blockerad utrymningslinje i Turbinhallen B2,Safety,WP3 Blockerad utrymningslinje i Turbinhallen B2,Non-Process Safety
WP12.1 Heta arbeten intill brannbart material,Safety,WP12.1 Heta arbeten intill brannbart material,Non-Process Safety
WP6 DW B2 railing needed,Safety,WP6 DW B2 railing needed,Non-Process Safety
"Bereich Saugzug 2:
Flatterband an der Leiter unklar, wahrscheinlich Aufstiegssperrung.
 verbessern",Safety,"Begehung Block B Saugzug 2, REA B/C, Werkstattbereich
Absperrung Flatterband an Leiter unklar",Non-Process Safety
"Forvaring av handskar pa felaktigt satt, kontrollerad sida.",Safety,"Forvaring av handskar pa felaktigt satt, kontrollerad sida.",Non-Process Safety
1a hjalpentavla 2P0632,Safety,1a hjalpentavla 2P0632,Non-Process Safety
1a hjalpentavla 2V0330A,Safety,1a hjalpentavla 2V0330A,Non-Process Safety
DGUV 3 Pruefung am Schweissgeraet der Partnerfirma erneuern.,Safety,DGUV 3 Pruefung am Schweissgeraet der Partnerfirma erneuern.,Non-Process Safety
Oskarshamn 2 - RIO - Nodutgang och brandslackare blockerad av B/C lador och Bigbags,Safety,Oskarshamn 2 - RIO - Nodutgang och brandslackare blockerad av B/C lador och Bigbags,Non-Process Safety
"Ein MA versuchte ein kontaminiertes Kleidungsstückes (Kopftuch, welches unter seinem Sicherheitshelm getragen wurde) aus der kontrollierten Zone zu schleusen. Der erste Body-Counter erfasste das kontaminierte Kleidungstück und lösste Alarm aus. Das Kleidungsstück gelangte nicht in den ""sauberen Bereich"".",Safety,BKW Mühleberg: Versuch ein kontaminiertes Kleidungsstück heraus zu schleusen,Non-Process Safety
"Beg: Aussenbereich, NH³ Lager; Die Beschilderung der Anlage ist zum Teil stark verwittert. wird durch P/VE erneuert.",Safety,"Beg: Aussenbereich, NH³ Lager; Die Beschilderung der Anlage ist zum Teil stark verwittert. wird durch P/VE erneuert.",Non-Process Safety
"Durchgang Block C zur Kohlehalde – Abgasleitung Kamin: Hier kommt es gelegentlich dazu, dass kleine Tropfen mit Saeure von oben herabfallen. Auf dem Boden erkennt man die Abnutzung durch den Gefahrstoff. Das einzige Hinweisschild ist nicht mehr sichtbar, da es an der Saeule abgelegt wurde.",Safety,Abgasleitung Kamin: kleine Tropfen mit Saeurefallen von oben herab,Non-Process Safety
A number of sections of uni-strut have incurred light damage in the Limestone Mill Building. This is in an area where access is quite narrow and looks as though these impacts have happened historically and over an extended period of time.,Safety,Light damage to uni-strut in Limestone Mill Building,Non-Process Safety
Fuer die Arbeiten auf der Schornsteinmuendung ist der Blitzschutz intakt zu halten und beim Rueckbau des Tragmantels mitzufuehren. Der Saeclimber ist entsprechend geerdet.,Safety,Rueckbau Schornstein Block 1 + Rauchgaskanaele - Gefaehrdung durch Wetterereignisse,Non-Process Safety
1a hjalpentavla,Safety,1a hjalpentavla,Non-Process Safety
WP6 DW B2 scaffold needs kickboard etc,Safety,WP6 DW B2 scaffold needs kickboard etc,Non-Process Safety
Oskarshamn 2 - RIO - Stallningslucka oppen R3.31,Safety,Oskarshamn 2 - RIO - Stallningslucka oppen R3.31,Non-Process Safety
1a hjalpentavla V0301A,Safety,1a hjalpentavla V0301A,Non-Process Safety
Oskarshamn 3 - Skyddsrond 250313 - Ta bort stallningar framfor brandpost och nodutgangar i D1.54,Safety,Oskarshamn 3 - Skyddsrond 250313 - Ta bort stallningar framfor brandpost och nodutgangar i D1.54,Non-Process Safety
WP12.5 blockerad utrymningslinje x 2,Safety,WP12.5 blockerad utrymningslinje x 2,Non-Process Safety
Auf den Kompaktmodulen der 110kV Schaltanlage liegt viel Schnee. Dieser ueberbrueckt auch die Isolatoren der Durchfuehrungen bis zum 110kV Anschluss.  Beim Be- / Entblockieren der Schalter muessen Mitarbeiter unter die Module treten.  Dabei kann Schnee auf diese herabfallen und diese mit dem Potential der 1110kV beaufschlagen.,Safety,Schneelast auf 110kV Kompaktmodulen,Non-Process Safety
Unit 3 LP exhaust south side of enclosure. A removable piece of floor grating had not been secured after work and could flip over if pressure was applied to either end. potential to cause ankle injury. Fixing bolts (present on other units) absent.,Safety,Grating/step unsecured.,Non-Process Safety
Aussentreppen von den Kesselhaeusern auf die unteren Ebenen: Insbesondere auf einigen Kabeltrassen haben Voegel ihre Nester gebaut.,Safety,Vogelnester auf einigen Kabeltrassen,Non-Process Safety
1a hjalpentavla,Safety,1a hjalpentavla,Non-Process Safety
Reduzierhaus: Arbeitsbuehne und elektrisches Geraet,Safety,Reduzierhaus: Arbeitsbuehne und elektrisches Geraet,Non-Process Safety
"52,0 m. Baustromverteiler Pruefungsfrist abgelaufen",Safety,Baustromverteiler Pruefungsfrist abgelaufen,Non-Process Safety
WP6 kabel utdragen till flaktar i asbestzon,Safety,WP6 kabel utdragen till flaktar i asbestzon,Non-Process Safety
"Im Durchgangsbereich von der Tiefgarage zum Turmgebaeude steht wiederholt der Wagen mit den Arbeitsgeraeten der Putzkraft. Da es sich hier um einen Fluchtweg handelt, sollte dieser Wagen woanders ""geparkt"" werden",Safety,Wagen der Putzkraft steht (wiederholt) im Fluchtweg,Non-Process Safety
WP12.2 lock olampligt placerade 2R6.30,Safety,WP12.2 lock olampligt placerade 2R6.30,Non-Process Safety
"Zowel in wacht C (22 maart + 1 april) als nu recent in wacht D (3 apr) is de UMT doorgeschoten wanneer keuze 5 (16,5m) geselecteerd is vanaf de 0 mtr-vloer. 
In wacht C is de lift in beide gevallen gestopt rond de 18m, bij wacht D is hij doorgeschoten tot de 40m. In dit laatste geval hield de lift eerst in waarna deze als een soort katapult werd afgevuurd om vervolgens tot stilstand te komen. De toevallig aanwezige brandweer én aquarium onderhouds-man waren hier getuige van en deze laatste was zichtbaar geschrokken.",Safety,"UMT lift schiet meerdere malen de 16,5m voorbij.",Non-Process Safety
Hinweisschild verschmutzt,Safety,Hinweisschild verschmutzt,Non-Process Safety
Oskarshamn 1 - RIO  - Arbetsgenomgang uteblev innan rivning av platar pa drivdonsplattan,Safety,Oskarshamn 1 - RIO  - Arbetsgenomgang uteblev innan rivning av platar pa drivdonsplattan,Non-Process Safety
WP6 WW B2 housekeeping,Safety,WP6 WW B2 housekeeping,Non-Process Safety
"Bereich Grobascheplatz/Gaskesselanlage 
UEberpruefung/Sinnhaftigkeit der Beschilderung im Bereich der Anlagen",Safety,UEberpruefung/Sinnhaftigkeit der Beschilderung,Non-Process Safety
The communication cable transmitting internet connectivity from Crange building to temporary contractor cabinet was pulled down as a result of strong winds (of up to 60m/h) introduced by named Storm Éowyn.,Safety,Internet cable pulled down by strong wind,Non-Process Safety
WP12 Asbestpackning till friklassning,Safety,WP12 Asbestpackning till friklassning,Non-Process Safety
KW VIE   Beleuchtung ueber der Treppe fehlt,Safety,KW VIE   Beleuchtung ueber der Treppe fehlt,Non-Process Safety
Beim Entwaessern der Druckluftleitung an der Wartungseinheit hat sich der Mitarbeiter  am Zeigefinger verletzt.  Behandlung: Pflaster und Eintrag ins Verbandsbuch,Safety,KW. OBE Entwaessern der Druckluftleitung,Non-Process Safety
Flucht und Rettungsplan aktualisieren,Safety,KGM VOL Flucht und Rettungsplan aktualisieren,Non-Process Safety
Risiko Weniger: Abdeckung der Strassenlaterne waren undicht. Bauteile wurden durch die Feuchtigkeit zerstoert. er.l durch IET,Safety,Risiko Weniger: Abdeckung der Strassenlaterne waren undicht. Bauteile wurden durch die Feuchtigkeit zerstoert. er.l durch IET,Non-Process Safety
"MH Ebene 11,0 m Turbinenhalle: Hubwagen der Fa. TURBO ohne
erkennbares aktuelles Siegel. Nach Ruecksprache kam die Aussage, dass
infolge der Arbeiten das gueltige Siegel wohl abgeschuerft wurde.",Safety,Hubwagen ohne aktuelles Siegel,Non-Process Safety
Begehung: IN 3 Ostanbau 1/2 ; An einem Ventilator im Aufenthaltsraum von Kaefer ist die Pruefung abgelaufen. Wird erledigt durch I/ET bis 30.11.,Safety,Begehung: IN 3 Ostanbau 1/2 ; An einem Ventilator im Aufenthaltsraum von Kaefer ist die Pruefung abgelaufen. Wird erledigt durch I/ET bis 30.11,Non-Process Safety
"Teilnehmer: 
Thorsten Niemeyer
Philip Eiben

Bereich: 
Wasserhaus Kraftwerk Huntorf


Beobachtung: 
Nach Installationsarbeiten durch Uniper Raum unordentlich.",Safety,Sicherheitsbegehung - KW Huntorf - 06.07.2023,Non-Process Safety
"Oskarshamn 1 - RIO - Forvaringslada av tra ar placerad utanfor kapcontainer, 1.4.71",Safety,"Oskarshamn 1 - RIO - Forvaringslada av tra ar placerad utanfor kapcontainer, 1.4.71",Non-Process Safety
"Geruestbauteile stehen hochkant, lose an Wand.",Safety,"Block 4, Revisionsarbeiten - Geruestbauteile stehen hochkant, lose an Wand",Non-Process Safety
Leiter im NH3-Lager nicht geprueft.,Safety,Ammoniak Lager -Leiter ueberpruefen,Non-Process Safety
"During a walk round of the GT Hall, it was noticed that there are 2 ceiling tiles that have been damaged and have the potential to fall.",Safety,Loose acoustic ceiling tiles above GT 22,Non-Process Safety
WP12.2 Lost racke,Safety,WP12.2 Lost racke,Non-Process Safety
"Es muss ein Schild ""Achtung rotierende Teile"" am Zugang zu den Gipsreversierband aufgehaengt werden.",Safety,"KGW2 Sicherheitsbegehung 15.03.2022
Gipssilo: fehlendes Warnschild am Zugang Gipsreversierband",Non-Process Safety
"Safe ID: 112097
Oskarshamn 2 - Fallskyddsutrustning var inte korrekt pakladd vid arbete intill oppet schakt pa drivdonsplattan (R4.60)",Safety,"Safe ID: 112097
Oskarshamn 2 - Fallskyddsutrustning var inte korrekt pakladd vid arbete intill oppet schakt pa drivdonsplattan (R4.60)",Non-Process Safety
Fixen Containers fortsatt placerade for nara schakten,Safety,Fixen Containers fortsatt placerade for nara schakten,Non-Process Safety
"During housekeeping walkaround/inspection it was noticed that scaffold storage area on the 38m level had no protection or brick guards, and scaffold was stored above the kick plate. This had the potential for scaffold stored in this area to fall when being moved or transported.",Safety,Unsafe scaffold storage in HRSG,Non-Process Safety
"Op verzoek van Fuel Supply J. Struyk en J. de Wilde aanvullende tekst toegevoerd:
""Luie trap  toegang “en verlichting aanpassen” om naar de  ponton vanaf krijtpier(haven)omdat deze route veel gebruikt wordt en er makkelijk valgevaar bestaat.""",Safety,Luie trap naar ponton vanaf de krijtpier haven,Non-Process Safety
Oskarshamn 1 - RIO - Skyddsbarriar saknas,Safety,Oskarshamn 1 - RIO - Skyddsbarriar saknas,Non-Process Safety
Beschilderung allgemein aktualisieren und unnoetige Schilder entfernen,Safety,Beschilderung aktualisieren,Non-Process Safety
"Project DFB1: Werknemer van RKM Arens is met montagewerk bezig zittende op een leiding, ongeveer 2,5 meter boven het bordes. Op de bijgevoegde foto is de leiding waar de man op zat met rood gemarkeerd en de leiding waaraan hij werkte met groen.",Safety,Zittende op leidingwerk montagewerk uitgevoerd,Non-Process Safety
Alter Extromat-Tiefbunker: Blechabdeckung liegt eingeknickt und demoliert im Zugangsschacht; Regenwasser kann eindringen und den unteren Bereich fluten,Safety,Blechabdeckung liegt eingeknickt und demoliert im Zugangsschacht,Non-Process Safety
"U3 Secondary air duct has had a number of asbestos samples taken that have not been resealed, this is on a part of the plant that is clearly marked and identified to contain ACM (Asbestos Containing Materials) It is not known how long these exposed area's have been uncovered.",Safety,Poor adherence to Asbestos sampling procedure.,Non-Process Safety
WP12.2 Snusning pa kontrollerat omrade.,Safety,WP12.2 Snusning pa kontrollerat omrade.,Non-Process Safety
"Risiko Weniger: Es wurde vorgeschlagen einen Gehweg von der Pforte bis zum Verwaltungsgebaeude zu kennzeichnen, da man die Fussgaenger uebersehen koennte. Dies wurde abgelehnt. Die Beleuchtung wurde erneuert.",Safety,"Risiko Weniger: Es wurde vorgeschlagen einen Gehweg von der Pforte bis zum Verwaltungsgebaeude zu kennzeichnen, da man die Fussgaenger uebersehen koennte. Dies wurde abgelehnt. Die Beleuchtung wurde erneuert.",Non-Process Safety
Oskarshamn 3 - RA3-25 ERF – Diverse material placerade pa skap i Intagsbyggnaden,Safety,Oskarshamn 3 - RA3-25 ERF – Diverse material placerade pa skap i Intagsbyggnaden,Non-Process Safety
"Notlicht-Anlage stand auf Stoerung, wurde auch am 23.06.2022 um 13.43 h im Leitsystem gemeldet",Safety,Notlicht-Anlage UW Zweckel Schalthaus,Non-Process Safety
Avsaknad av arbetsmiljotavla.,Safety,Avsaknad av arbetsmiljotavla.,Non-Process Safety
WP4.1 blockerad utrymningslinje 2T0309 Utrymning,Safety,WP4.1 blockerad utrymningslinje 2T0309 Utrymning,Non-Process Safety
Wp4.1 Sparklist saknas T0202 vid gretinghal,Safety,Wp4.1 Sparklist saknas T0202 vid gretinghal,Non-Process Safety
"Ebene 25,3 m – Aufstieg (Treppe) zu den Katlagenluken: Pruefung Arbeitsmittel angelaufen; z.B. Treppe 032023 T2 mit Pruefsiegel 10/2017!!! Bitte auch die anderen Aufstiege pruefen!!!",Safety,alle Aufstiege pruefen,Non-Process Safety
"16m , Stolperkante / Gefahr des Umknickens (UEbergang: Gummi - Lichtgitterrost zum Beton-Schwerbau) - Ersatz der Gummiabdeckung
(SAP Eintrag: 50210108)",Safety,"KGW2 Sicherheitsbegehung 25.05.2022
Ersatz einer Gummiabdeckung wegen einer Stolperkante UEbergang: Gummi - Lichtgitterrost",Non-Process Safety
Unrat beseitigen,Safety,DA 30 Begehung: Bereich 6 Maschinenhaus Block 5,Non-Process Safety
Risiko Weniger: Nach der Instandsetzung der Isolierung waren die KKS Schilder vertauscht. AEderung durch P/S,Safety,Risiko Weniger: Nach der Instandsetzung der Isolierung waren die KKS Schilder vertauscht. AEderung durch P/S,Process Safety
"Unit 4 below level 5 B side dismantling re-circ warming line scaffold, a 5 ft puncheon tube fell onto gantry below (approx 20ft) into a barriered off area (nobody hurt and no plant damage).",Safety,U4 B Side Recirc Warming-Scaffold tube fell within barriered zone set below the work area,Non-Process Safety
"KH, Bl.1,  68m: Die Jalousie an der Rauchableitungsoeffnung ist ohne Funktion",Safety,Rauchableitungsoeffnung im Treppenhaus ohne Funktion,Non-Process Safety
WP1 blocked emergency escape route,Safety,WP1 blocked emergency escape route,Non-Process Safety
Begehung IN 33:  Der TUEV an dem Feuerwehrauto ist abgelaufen. wurde erledigt durch V&E.,Safety,Begehung IN 33:  Der TUEV an dem Feuerwehrauto ist abgelaufen. wurde erledigt durch V&E.,Non-Process Safety
Defekte Lichtgitterroste im Bodenbereich muessen getauscht werden.,Safety,Defekte Lichtgitterroste im Bodenbereich,Non-Process Safety
Im Bereich BGL SH 2 Kabelboden sind die Kabel einiger Felder unzureichend beschriftet.,Safety,BGL SH 2 - Kabelboden - Unzureichende Beschriftung der Kabel in den Feldern.,Non-Process Safety
"GP3 - LMI104 was observed to be out of date (passed the August 2024 review date). Hence, not suitable for affected operation to proceed.",Safety,GP3 observed out of date,Non-Process Safety
An der ausgehobenen Baugrube ist das Material zu nah gelagert und droht herab zu rutschen.,Safety,"Baustelle BGL VK 6 und VK 8, Materiallagerung an Baugrube",Non-Process Safety
"Viel Kohlestaub auf dem Boden, dadurch Brand- und Explosionsgefahr.",Safety,"Block 5, Bunkerbuehne, 33m - Kohlestaub auf dem Boden",Non-Process Safety
Oskarshamn 0 - Nar vi foljer den bla strackning fran inpasseringen till anlaggningen O1/O2 sa finns det tre overgangsstallen ar det medvetet att placera dom dar det finns minst belysning?,Safety,Oskarshamn 0 - Nar vi foljer den bla strackning fran inpasseringen till anlaggningen O1/O2 sa finns det tre overgangsstallen ar det medvetet att placera dom dar det finns minst belysning?,Non-Process Safety
Oskarshamn 2 - RIO - Stromforande kablar oskyddade (se  OBS 115183),Safety,Oskarshamn 2 - RIO - Stromforande kablar oskyddade (se  OBS 115183),Non-Process Safety
WP14 utgangen besiktning kabel 1R9.32,Safety,WP14 utgangen besiktning kabel 1R9.32,Non-Process Safety
RW: Bei der Pflege der Gruenflaechen sollen die Zugangswege als erstes gemaeht werden. Es fuehrt zu Stolperstellen bei den Freischaltungen. das Konzept wird ueberarbeitet.,Safety,RW: Bei der Pflege der Gruenflaechen sollen die Zugangswege als erstes gemaeht werden. Es fuehrt zu Stolperstellen bei den Freischaltungen. das Konzept wird ueberarbeitet.,Non-Process Safety
"Die S-OElleitung nach SS- Ventil ist im Bereich Eintritt  FWK Buer:  
Die S-OElleitung nach SS- Ventil ist im Bereich Eintritt Ausblasedampfleitung Brenner 4.1 stark undicht. Die Buehnen auf 22 m, 18 m, 14 m und 10 m wurden mit S- OEl verunreinigt. Die mobile Kamera wurde aufgestellt.  
SL-Eintrag wird erstellt. [KH] 
Ausblasedampfleitung stark undicht. Der Brenner ist nicht zu betreiben. 
Die Buehnen auf 22 m, 18 m, 14 m und 10 m wurden mit S- OEl verunreinigt",Process Safety,FWK Buer S-OElzuleitung nach SS- Ventil undicht,Non-Process Safety
Oskarshamn 3 - Kortstopp 1 2023 - 516 omkopplare ej i ratt lage enligt DO-3-016/23,Process Safety,Oskarshamn 3 - Kortstopp 1 2023 - 516 omkopplare ej i ratt lage enligt DO-3-016/23,Non-Process Safety
"KH. Keller. Loch in der Leitung. Fliesst die ganze Zeit auf die Kabelkanaele. Geruestteil
Leitung instandsetzten.
Geruestteil entsorgen",Process Safety,"defekte Leitung, herumstehendes Geruestteil
(Begehung Pkt. 16)",Non-Process Safety
"Morning of Tuesday 3rd of December low water pressure from towns was noted on onsite. It was then discovered that the Red Hill Tank level was 0% (Should be maintained at 75%, 200,000 gallon Tank). The tank level should have alarmed, however it was found that the alarm had been shelved and so no defect had been raised for the faulty inlet valve to the tank despite the levels dropping over a number of a days.  Supply was restored and tank level recovered over next couple of days. Total loss of water would have impacted day to day business as no sanitation would have been available.",Operational loss,Towns Water Supply Loss,Non-Process Safety
"Gas oil leak discovered on inlet pipework to the portable purifier skid that we are currently using as a temporary transfer pump to pump GT gas oil from the reception tank to the main tank. Area was flooded with Gas Oil so leaking for some time and had reached the gully drain at back of the FO pumphouse. P1 Defect rasied 21452989.
This is a repeat failure of the hose integrity following repair of the hose joint under defect 21451761.",Process Safety,GT FO Portable Purifier Inlet Pipe Leak,Non-Process Safety
"In het ketelhuis brander laag 50 is een lekkage bio-propaan geconstateerd. Er is ter plaatsen een meting uitgevoerd met een H2 meter. De gemeten waarde was 150 ppm.

Toevoeging Iwan van der Kraats, 20 april:
De metingen zijn regelmatig uitgevoerd. Er zijn waarden van +1.0 vol% gemeten. Branders 51, 52 en 53 zijn uit bedrijf genomen vanwege de grote lekkages.
Brander 54, 55 en 56 in bedrijf. Bij brander 55 wordt regelmatig 0.6 a 0.8 vol% gemeten. Dit is wel op 1 cm vanaf de lekkage.

Er is voor gekozen om met brander 55 in bedrijf te blijven.
Welke norm hanteren we voor de beslissing om een brander uit te nemen?
Ontstekingstemperatuur is 560ºC. Een explosief gas wordt amper gevormd, omdat op korte afstand van de lekkage de concentraties zeer laag zijn.",Process Safety,Kleine lekkage bio-propaan,Non-Process Safety
Part of concrete fell to floor adjacent to purge area,Process Safety,PSO - Cooling Tower 3B concrete,Non-Process Safety
"During preparation for ACC lighting work, it became apparent that the switchfuse supplying the ACC lighting distribution board was incorrectly labelled",Process Safety,Incorrect KKS identification/ labelling,Non-Process Safety
"On the routine maintenance of the diesel generator, the circuit breaker was inspected. Here it was found that arcing had occurred on the terminal connection block, and damage was observed. See attached pictures.",Process Safety,"Diesel Generator circuit breaker fault.
Extended 30/07/2022 - better RCA when taken apart and isolated when new parts arrive.",Non-Process Safety
Olast dorr till gul stralningszon,Process Safety,Olast dorr till gul stralningszon,Non-Process Safety
Die Akku´s der Loeschanlage zeigen eine Stoerung an und sind durch den Service zu tauschen,Asset and Reputation damage/loss,Hiberniastrasse Herten Serverraum Aktivloeschsystem DET,Non-Process Safety
RW: Das Dach des Kalksilos ist stark angerostet. wird durch I/IP instandgesetzt. bis 31.12.25,Process Safety,RW: Das Dach des Kalksilos ist stark angerostet. wird durch I/IP instandgesetzt. bis 31.12.25,Non-Process Safety
Bei einem Routinerundgang wurde eine OElleckage am Hydraulikaggregat der GT52 festgestellt. OElaustritt nur in Auffangwanne.,Process Safety,Austritt Hydraulikoel MBX02 GT52,Non-Process Safety
"Twee branddeuren op de tweede verdieping stonden open.
De eerste werd opengehouden met een plantenbak. (De deur bij de pantry) 
De tweede loopt vast op de vloerbedekking. (De deur bij de printer)",Process Safety,Geopende branddeuren,Non-Process Safety
"Er zijn parkeerplaast vakken gemaakt naast de nooddiesel UCA. Deze nooddiesel heeft ook een eigen diesel opslag van ca. 6 m3 en moet daarmee voldoen aan de PGS30 (opslag vloeibare brandstoffen).

Conform PGS 30 zijn er eisen aan in- en externe veiligheidsafstanden, beveiliging tegen mechanische beschadiging, maatregelen die gericht zijn op het voorkomen en beperken van brand- en explosiegevaar, en additionele maatregelen voor opslag.

De relatief korte parkerplaats zorgt ervoor dat er vrijwel direct naast de olieopslag geparkeerd kan worden (zie foto in bijlage) en ontbreekt er onderandere een aanrijdbeveiliging. Dit is niet toegestaan.

Daarnaast is het niet duidelijk of op deze plek geparkeerd mag worden op basis van de vergunning. Voor het aanbrengen van deze parkeerplaats is niet MOC procedure gevolgd.",Process Safety,Non compliance PGS30 door parkeerplaats direct naast nooddiesel met opslag,Non-Process Safety
Oskarshamn 1 - RIO - Felaktigt hanterat och ej planerat sekundaravfall,Process Safety,Oskarshamn 1 - RIO - Felaktigt hanterat och ej planerat sekundaravfall,Non-Process Safety
"Unit 6 was at full load when:
IP steam SH OL press indication has gone BDQ opening superheater drain valves while on load - Additional signals have since gone into channel error inc:
T IP steam out 61-lab-30-ct002
T transition duct 61-HBK-70-CT006
F IP steam out 61-LBA-30-FF901
F IP SH stm out 61-LBA-30-CF002
T RHTR2 Drain 61-HAJ-30-CT009.
The issue was found to be the penetration seal on the boiler leaking exhaust Gas, when the temperature was checked the temperature was found to be over 600C on the surface of the lagging.",Process Safety,U6 HRSG penetration seal leak.,Non-Process Safety
Er ligt een behoorlijke hoeveelheid olie (agv lekkage) in de olieruimte van de rookgascompressor.,Process Safety,Olielekkage olieruimte rookgas-compressor,Non-Process Safety
Die Eingangstueren der Kraftwerkanlagen und Nebenanlagen sollen mit der farblichen Kennzeichnung (analog T3000- Zuordnung) gestrichen werden. Termin: bis zur Revision 2023,Asset and Reputation damage/loss,Farbliche Kennzeichnung der Eingangstueren,Non-Process Safety
Security center gebeld voor regelen van storingsdienst maar helaas was niet bereikbaar via normale tel.nr daarna ook geprobeerd via calamiteitennummer maar deze werd ook niet beantwoord,Process Safety,Security center totaal niet bereikbaar,Non-Process Safety
"Risiko Weniger: Es wurde in der Verwaltung ein USB Stick gefunden. Dieser wurde dem ISMS Beauftragten uebergeben.
Der USB-Stick war ein ""Intrusion-Test"" es waren keine Daten auf dem USB-Stick vorhanden.",Information Security,"Risiko Weniger: Es wurde in der Verwaltung ein USB Stick gefunden. Dieser wurde dem ISMS Beauftragten uebergeben.
Der USB-Stick war ein ""Intrusion-Test"" es waren keine Daten auf dem USB-Stick vorhanden.",Non-Process Safety
Begehung: HH 3 Lager Warte; Es ist zu pruefen ob der Bildschirmarbeitsplatz den Anforderungen des ISMS entspricht. Durch I/KT bis 30.04.,Information Security,Begehung: HH 3 Lager Warte; Es ist zu pruefen ob der Bildschirmarbeitsplatz den Anforderungen des ISMS entspricht. Durch I/KT bis 30.04.,Non-Process Safety
"Der Rohrbogen DN xxx zur Fuellpumpe ist aus betrieblichen Gruenden um 90° verdreht gesetzt. Um den Rohrbogen fuer das Fuellen der Druckrohrleitung und des Oberbeckens, ca. alle 20 Jahre erforderlich, durchfuehren, sollte eine entsprechender Anschlagpunkt oder Laufschiene, entsprechender Statik und Nachweis, gesetzt werden.",Process Safety,LPZ  Anschlagpunkt fuer Rohrbogen der Fuellpumpe,Non-Process Safety
"Die Feuerwehrleitstelle wurde durch einen vorbeifahrenden Autofahrer ueber verdaechtigen Rauch ueber dem Kraftwerk informiert. Das Kraftwerk war zu dem Zeitpunkt im Verdichterbetrieb und der Rauch Wasserdampf aus der Rueckkkuehlanlage.
Folgender zeitlicher Ablauf:
15:18 Uhr Anruf von Herrn Schwarting ( Grossleitstelle Oldenburg ) Das Rauch gesichtet wurde.
-> Die Feuerwehr war zu diesem Zeitpunkt schon alarmiert worden und befand sich auf dem Weg nach Huntorf.
15:20 Uhr wurde Die Bereitschaft ( T. Entrup ) informiert.
15:21 Uhr Anruf der Feuerwehr ob das Kraftwerk in Betrieb sei.
15:24 Uhr wurde die AGN Bereitschaft ( O. Kuhlmann ) informiert. 
15:44 Uhr Rueckmeldung von Herrn T. Entrup, dass es sich wieder um Dampf vom Kuehlwassersystem handelt, was aber voellig normal sei.
15:56 Uhr wurde O. Kuhlmann informiert, der zu diesem Zeitpunkt schon in Huntorf war.",Process Safety,Feuerwehreinsatz in Huntorf,Non-Process Safety
"Havenbedrijf heeft een bezoek gebracht aan het schip de Samira welke met vliegas is beladen.
Het schip is onjuiste beladen en kan tijdens de vaart instabiel worden. Schip mag niet vertrekken",Asset and Reputation damage/loss,Bezoek havenbedrijf aan het schip de SAMIRA,Non-Process Safety
Im gesamten Lagerbereich sind die Pruefplaketten der Regale abgelaufen.,Process Safety,Pruefplaketten von Regalen abgelaufen.,Non-Process Safety
Loss of fire detection to relay room & cable tunnels with no alarm to centre desk.,Process Safety,Vesda fire detection panel out of services,Non-Process Safety
"Ort: Kesselhaus 0m, E-Kessel
Hinweis: Die ""Anmischstation"" fuer Trinatriumphosphat muss ertuechtigt werden. 
(DGUV-Pruefung?, aktuelle Betriebsanweisung)",Process Safety,"KGW2 Sicherheitsbegehung 01.08.2022
Kesselhaus 0m, E-Kessel: Ertuechtigung ""Anmischstation""",Non-Process Safety
During works to Hydrostatically Test the newly installed 12” Fire Main the line unexpected movement that resulted in the mechanical failure of the bellows installed in the line.,Process Safety,Failed Hydro Pressure Test,Non-Process Safety
1. Pump A discharge flange GRP pipework joint split and 2. Pump B Mechanical Seal failed leading to leakage.,Process Safety,Operational Loss - Limestone Slurry Distribution Pumps A & B,Non-Process Safety
Ein CE Stecker vom Containerdorf hat keine aktuelle DGUV V3 Pruefung. Zudem ist die Leitung nicht ordnungsgemaess verlegt.,Asset and Reputation damage/loss,"Zweckel, DGUV V3 Pruefung",Non-Process Safety
Hushallning dekonten,Process Safety,Hushallning dekonten,Non-Process Safety
"During the Feb22 outage, inspection of HP Mainsteam Pipework attachment weld reference -1/03DR identified deterioration of creep effected material resulting in an integrity risk. Repair not immediately possible. Restricted operation before monitor required. Station risk assessment required.",Process Safety,PEM-120 HP Mainsteam pipework attachment -1/03DR integrity risk.,Non-Process Safety
OVT GT: Aggressiva faglar vid transformatorservice,Environment,OVT GT: Aggressiva faglar vid transformatorservice,Non-Process Safety
U7 HRSG HP Drum Level Transmitter 2 Steam Isolating Valve 2 is leaking steam from valve spindle. Steam pressure at Full Load is approx 135 bar and temperatures reaching 350'C.,Process Safety,U7 HRSG HP Drum Level Transmitter 2 Steam Isolating Valve 2 leak.,Non-Process Safety
Tijdens sloopwerkzaamheden in hal-5 is er Asbest (ladderband) bloot komen te liggen. De asbest was bekend en geinventariseerd. Er is te veel gesloopt waardoor het nog te saneren stuk asbest bloot is komen te liggen.,Process Safety,Asbest materiaal bloot komen te liggen,Non-Process Safety
